word,occurrence,percentage,cumulative
mooi,63,0.00042,0.4808210000000001
niets,62,0.000413,0.4812340000000001
9,62,0.000413,0.4816470000000001
auto,62,0.000413,0.4820600000000001
krijgt,62,0.000413,0.4824730000000001
26,62,0.000413,0.4828860000000001
w,62,0.000413,0.4832990000000001
rotterdam,60,0.0004,0.4836990000000001
p,59,0.000393,0.4840920000000001
stoppen,59,0.000393,0.48448500000000005
graag,59,0.000393,0.48487800000000003
werken,59,0.000393,0.485271
foto,59,0.000393,0.485664
vinden,59,0.000393,0.48605699999999996
linkse,58,0.000387,0.486444
km,58,0.000387,0.486831
onderzoek,58,0.000387,0.48721800000000004
media,58,0.000387,0.48760500000000007
kijken,58,0.000387,0.4879920000000001
rutte,58,0.000387,0.4883790000000001
denken,58,0.000387,0.48876600000000014
0000,58,0.000387,0.48915300000000017
2023-06-26,58,0.000387,0.4895400000000002
denk,58,0.000387,0.4899270000000002
water,58,0.000387,0.49031400000000025
elke,57,0.00038,0.49069400000000024
vraag,57,0.00038,0.49107400000000023
achter,57,0.00038,0.4914540000000002
o,57,0.00038,0.4918340000000002
ter,56,0.000373,0.4922070000000002
kom,56,0.000373,0.49258000000000024
teken,56,0.000373,0.49295300000000025
v,56,0.000373,0.49332600000000026
nederlandse,55,0.000367,0.49369300000000027
houden,55,0.000367,0.4940600000000003
d66,55,0.000367,0.4944270000000003
toe,55,0.000367,0.4947940000000003
dood,55,0.000367,0.4951610000000003
binnen,55,0.000367,0.4955280000000003
verbod,55,0.000367,0.4958950000000003
mn,55,0.000367,0.4962620000000003
aantal,55,0.000367,0.4966290000000003
h,55,0.000367,0.4969960000000003
blijft,54,0.00036,0.49735600000000035
betalen,54,0.00036,0.4977160000000004
jihoonie,54,0.00036,0.4980760000000004
vol,54,0.00036,0.49843600000000043
mogen,54,0.00036,0.49879600000000046
boek,54,0.00036,0.4991560000000005
blijven,54,0.00036,0.4995160000000005
temperatuur,53,0.000353,0.4998690000000005
overleden,53,0.000353,0.5002220000000005
natuurlijk,53,0.000353,0.5005750000000005
22,53,0.000353,0.5009280000000006
ameen,53,0.000353,0.5012810000000006
morgen,53,0.000353,0.5016340000000007
niks,53,0.000353,0.5019870000000007
gemeente,53,0.000353,0.5023400000000008
hoor,53,0.000353,0.5026930000000008
vvd,53,0.000353,0.5030460000000009
bekijk,52,0.000347,0.5033930000000009
25,52,0.000347,0.5037400000000009
23,52,0.000347,0.5040870000000008
21,52,0.000347,0.5044340000000008
ziet,52,0.000347,0.5047810000000008
zaterdag,52,0.000347,0.5051280000000008
doe,52,0.000347,0.5054750000000008
regen,52,0.000347,0.5058220000000008
sinds,51,0.00034,0.5061620000000008
oekraïne,51,0.00034,0.5065020000000008
video,51,0.00034,0.5068420000000008
vragen,50,0.000333,0.5071750000000008
nieuw,50,0.000333,0.5075080000000008
welke,50,0.000333,0.5078410000000009
lang,50,0.000333,0.5081740000000009
lijkt,50,0.000333,0.5085070000000009
nos,50,0.000333,0.508840000000001
on,50,0.000333,0.509173000000001
vaak,49,0.000327,0.509500000000001
my,49,0.000327,0.5098270000000009
goede,49,0.000327,0.5101540000000009
wonderland,49,0.000327,0.5104810000000009
hebt,48,0.00032,0.5108010000000008
jaren,48,0.00032,0.5111210000000008
misschien,48,0.00032,0.5114410000000008
gedaan,48,0.00032,0.5117610000000008
live,48,0.00032,0.5120810000000008
kamer,48,0.00032,0.5124010000000008
verboden,48,0.00032,0.5127210000000008
nee,48,0.00032,0.5130410000000007
wereld,48,0.00032,0.5133610000000007
luchtdruk,48,0.00032,0.5136810000000007
soms,47,0.000313,0.5139940000000007
gratis,47,0.000313,0.5143070000000007
waren,47,0.000313,0.5146200000000007
info,47,0.000313,0.5149330000000008
grootste,46,0.000307,0.5152400000000007
politie,46,0.000307,0.5155470000000006
beetje,46,0.000307,0.5158540000000006
eerst,46,0.000307,0.5161610000000005
volgende,46,0.000307,0.5164680000000005
europa,46,0.000307,0.5167750000000004
boeren,46,0.000307,0.5170820000000004
deel,46,0.000307,0.5173890000000003
petitie,45,0.0003,0.5176890000000003
jouw,45,0.0003,0.5179890000000003
top,45,0.0003,0.5182890000000002
zeker,45,0.0003,0.5185890000000002
miljoen,45,0.0003,0.5188890000000002
