word,occurrence,percentage,cumulative
temperatuur,53,0.000353,0.5365390000000005
ameen,53,0.000353,0.5368920000000006
miljoen,52,0.000346,0.5372380000000005
boer,52,0.000346,0.5375840000000005
vragen,52,0.000346,0.5379300000000005
21,52,0.000346,0.5382760000000004
regen,52,0.000346,0.5386220000000004
23,52,0.000346,0.5389680000000003
probleem,51,0.00034,0.5393080000000003
video,51,0.00034,0.5396480000000003
on,51,0.00034,0.5399880000000004
sinds,51,0.00034,0.5403280000000004
oekraïne,51,0.00034,0.5406680000000004
asielzoeker,50,0.000333,0.5410010000000004
bedrijf,50,0.000333,0.5413340000000004
kamer,50,0.000333,0.5416670000000005
nos,50,0.000333,0.5420000000000005
my,49,0.000326,0.5423260000000005
proberen,49,0.000326,0.5426520000000006
luchtdruk,49,0.000326,0.5429780000000006
kamerlid,49,0.000326,0.5433040000000007
laag,49,0.000326,0.5436300000000007
wereld,49,0.000326,0.5439560000000008
wonderland,49,0.000326,0.5442820000000008
fijn,49,0.000326,0.5446080000000009
plaats,48,0.00032,0.5449280000000009
misschien,48,0.00032,0.5452480000000008
live,48,0.00032,0.5455680000000008
nee,48,0.00032,0.5458880000000008
deel,48,0.00032,0.5462080000000008
soms,47,0.000313,0.5465210000000008
à,47,0.000313,0.5468340000000008
gratis,47,0.000313,0.5471470000000008
info,47,0.000313,0.5474600000000008
gesprek,47,0.000313,0.5477730000000008
eten,47,0.000313,0.5480860000000009
19,47,0.000313,0.5483990000000009
politie,46,0.000306,0.5487050000000009
hand,46,0.000306,0.5490110000000009
beetje,46,0.000306,0.5493170000000009
europa,46,0.000306,0.549623000000001
stad,46,0.000306,0.549929000000001
zomer,45,0.0003,0.550229000000001
woord,45,0.0003,0.5505290000000009
moment,45,0.0003,0.5508290000000009
petitie,45,0.0003,0.5511290000000009
zeker,45,0.0003,0.5514290000000008
top,45,0.0003,0.5517290000000008
hard,45,0.0003,0.5520290000000008
bekijk,45,0.0003,0.5523290000000007
richting,45,0.0003,0.5526290000000007
gebruiken,44,0.000293,0.5529220000000007
ร,44,0.000293,0.5532150000000007
belangrijk,44,0.000293,0.5535080000000007
buiten,44,0.000293,0.5538010000000007
kopen,44,0.000293,0.5540940000000006
azc,43,0.000286,0.5543800000000007
verhaal,43,0.000286,0.5546660000000007
online,43,0.000286,0.5549520000000007
extra,43,0.000286,0.5552380000000007
eu,43,0.000286,0.5555240000000007
tip,43,0.000286,0.5558100000000007
medewerker,43,0.000286,0.5560960000000007
and,43,0.000286,0.5563820000000007
spelen,43,0.000286,0.5566680000000007
haag,43,0.000286,0.5569540000000007
nummer,43,0.000286,0.5572400000000007
100,43,0.000286,0.5575260000000007
groen,42,0.00028,0.5578060000000007
kennen,42,0.00028,0.5580860000000006
ding,42,0.00028,0.5583660000000006
kilometer,42,0.00028,0.5586460000000005
winnen,42,0.00028,0.5589260000000005
weekend,41,0.000273,0.5591990000000004
klein,41,0.000273,0.5594720000000004
29,41,0.000273,0.5597450000000004
to,41,0.000273,0.5600180000000003
cent,41,0.000273,0.5602910000000003
vooral,41,0.000273,0.5605640000000003
eigenlijk,41,0.000273,0.5608370000000003
zorgen,41,0.000273,0.5611100000000002
poetin,41,0.000273,0.5613830000000002
idee,41,0.000273,0.5616560000000002
16,41,0.000273,0.5619290000000001
blijken,41,0.000273,0.5622020000000001
duidelijk,41,0.000273,0.5624750000000001
best,41,0.000273,0.562748
_,41,0.000273,0.563021
kiezen,41,0.000273,0.563294
toen,41,0.000273,0.5635669999999999
28,40,0.000266,0.5638329999999999
ieder,40,0.000266,0.5640989999999999
burger,40,0.000266,0.5643649999999999
eerder,40,0.000266,0.5646309999999999
collega,40,0.000266,0.5648969999999999
vuur,40,0.000266,0.5651629999999999
normaal,40,0.000266,0.5654289999999998
stem,40,0.000266,0.5656949999999998
twitter,40,0.000266,0.5659609999999998
youtube,40,0.000266,0.5662269999999998
vakantie,40,0.000266,0.5664929999999998
naam,39,0.00026,0.5667529999999998
voelen,39,0.00026,0.5670129999999999
update,39,0.00026,0.5672729999999999
pas,39,0.00026,0.567533
bekend,39,0.00026,0.567793
overheid,39,0.00026,0.568053
11,39,0.00026,0.5683130000000001
school,39,0.00026,0.5685730000000001
toekomst,39,0.00026,0.5688330000000001
